Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,1.01,0.51,20,51
3,1.07,0.83,13,37
4,1.14,1.14,19,44
5,1.25,1.31,10,22
6,1.35,1.48,18,37
7,1.41,1.74,19,40
8,1.45,2.20,15,39
9,1.53,2.34,9,12
10,1.59,2.50,9,29
11,1.64,2.91,14,31
12,1.71,3.20,13,25
13,1.64,3.85,16,40
14,1.62,4.11,12,23
15,1.64,4.41,18,41
16,1.66,4.60,13,16
17,1.60,5.09,22,49
18,1.56,5.33,15,27
19,1.58,5.49,10,18
20,1.51,5.60,11,28
21,1.48,5.81,10,31
22,1.34,6.00,6,14
23,1.29,6.39,11,40
24,1.29,6.76,15,38
25,1.28,7.09,10,32
26,1.27,7.30,8,29
27,1.30,7.60,16,50
28,1.31,8.08,18,51
29,1.33,8.23,11,22
30,1.37,8.47,12,26
31,1.34,8.63,16,32
32,1.37,9.00,10,22
33,1.28,9.26,8,24
34,1.24,9.37,8,30
35,1.28,9.71,9,38
36,1.23,9.87,7,16
37,1.18,10.04,10,27
38,1.10,10.16,6,20
39,1.10,10.44,13,37
40,1.11,10.65,11,36
41,1.09,10.78,8,28
42,1.05,11.04,11,29
43,1.02,11.23,10,25
44,1.02,11.39,10,18
45,0.98,11.53,8,28
46,0.98,11.68,9,29
47,0.95,12.13,13,46
48,0.86,12.47,15,37
49,0.86,12.60,13,36
50,0.80,12.88,16,43
51,0.79,13.05,11,28
52,0.81,13.23,14,35
53,0.80,13.33,14,21
54,0.83,13.43,6,23
55,0.83,13.57,10,28
56,0.81,13.85,15,45
57,0.82,13.95,11,44
58,0.83,14.02,9,22
59,0.88,14.12,8,23
60,0.91,14.25,10,27
61,0.94,14.35,10,26
62,0.94,14.77,13,42
63,0.99,14.81,3,4
64,0.94,15.10,10,37
65,0.98,15.14,5,21
66,0.98,15.53,11,51
67,0.96,15.69,10,29
68,1.02,15.85,8,34
69,0.99,15.92,3,8
70,0.97,15.95,2,4
71,0.97,16.09,8,25
72,1.01,16.11,3,12
73,1.11,16.17,6,18
74,1.09,16.26,5,19
75,1.05,16.40,7,27
76,1.11,16.43,6,7
77,1.11,16.47,4,6
78,1.16,16.52,2,6
79,1.20,16.62,4,12
80,1.28,16.66,4,6
81,1.30,16.95,10,36
82,1.49,16.98,2,3
83,1.53,17.11,4,13
84,1.69,17.12,1,1
85,1.87,17.15,2,4
86,1.86,17.28,5,10
87,2.03,17.40,2,7
88,2.14,17.46,5,9
89,2.22,17.58,5,11
90,2.31,17.81,6,12
91,2.46,17.88,2,3
92,2.69,17.88,1,1
93,2.77,17.95,4,6
94,2.73,18.18,6,12
95,2.90,18.29,3,6
96,2.92,18.57,8,14
97,2.97,19.00,8,17
98,3.15,19.19,7,13
