TraderName InitIncome InitShares OpProb SellProb Income Shares Wealth NbSellSuccess NbSellFailures NbBuySuccess NbBuyFailures
trader1         10.00         10   0.46     0.24   8.86    11  67.54           312            236          365           427
trader3         10.00         10   0.58     0.46   7.75     1  13.09           577            470          548           558
trader2         10.00         10   0.88     0.97  21.15     0  21.15            94             79           75            47
trader5         10.00         10   0.10     0.49  62.33     1  67.67           202            120          180           128
trader4         10.00         10   0.23     0.06   2.88     3  18.88            47             29           68           135
trader7         10.00         10   0.19     0.12   3.28    26 141.99           137             84          151           160
trader6         10.00         10   0.48     0.93   8.92     1  14.26            90             81           63            61
trader9         10.00         10   0.72     0.01   1.26    13  70.61            75             22          109           130
trader8         10.00         10   0.81     0.94  13.17     1  18.50           153            125          121           129
ma_trader16      10.00         10   0.67     0.23   0.21    19 101.57             9             10           11            15
ma_trader17      10.00         10   0.77     0.92   0.63    17  91.32             5              4           10            25
ma_trader14      10.00         10   0.48     0.64   0.93    22 118.29             9              1           10             8
ma_trader15      10.00         10   0.70     0.60   0.77    21 112.80             7              2            8            11
ma_trader12      10.00         10   0.45     0.38   1.01    22 118.37             5              2           11            15
ma_trader13      10.00         10   0.20     0.73   0.95     4  22.29             6              4            8            12
ma_trader10      10.00         10   0.03     0.68   0.65    20 107.34            11              2           12             9
ma_trader11      10.00         10   0.27     0.68   1.28    22 118.64             6              2            8            13
trader43        10.00         10   0.52     0.54   7.01     1  12.34           678            507          606           451
trader42        10.00         10   0.74     0.74   6.03     0   6.03           209            245          191           268
trader45        10.00         10   0.04     0.43  10.31     4  31.65            73             37           64            51
trader44        10.00         10   0.99     0.08   3.17     6  35.18           352            179          454           559
trader41        10.00         10   0.20     0.78  34.39     7  71.74           157            133          121           105
trader40        10.00         10   0.45     0.57   8.22     0   8.22           290            281          269           284
trader47        10.00         10   0.21     0.63   6.56     0   6.56           165            125          154           123
trader46        10.00         10   0.99     0.23   2.79     0   2.79           571            442          619           685
trader49        10.00         10   0.46     0.26   6.17     2  16.84           401            265          441           447
trader48        10.00         10   0.38     0.38   9.47     1  14.81           325            242          324           361
trader50        10.00         10   0.05     0.38   4.24     5  30.91            39             32           40            53
