TraderName,InitIncome,InitShares,OpProb,SellProb,Income,Shares,Wealth,NbSellSuccess,NbSellFailures,NbBuySuccess,NbBuyFailures
trader1,10.00,10,0.75,0.76,27.38,0,27.38,9,0,4,568
ma_trader89,10.00,10,0.28,0.19,14.49,2,33.61,6,3,5,1635
trader3,10.00,10,0.79,0.42,12.69,0,12.69,10,13,7,560
trader2,10.00,10,0.27,0.25,68.57,0,68.57,16,3,5,910
ma_trader87,10.00,10,0.78,0.09,0.45,11,105.61,6,2,5,10
trader5,10.00,10,0.03,0.47,48.03,0,48.03,7,0,0,69
trader4,10.00,10,0.18,0.45,16.63,0,16.63,7,1,3,196
ma_trader88,10.00,10,0.72,0.22,1.76,33,317.24,8,2,14,22
ma_trader85,10.00,10,0.87,0.64,11.27,12,125.99,7,6,8,893
trader7,10.00,10,0.86,0.68,16.67,0,16.67,20,11,12,574
ma_trader86,10.00,10,0.47,0.77,15.73,0,15.73,2,8,4,1917
trader6,10.00,10,0.97,0.46,17.63,0,17.63,22,11,23,1198
trader9,10.00,10,0.11,0.85,25.92,0,25.92,8,2,1,51
ma_trader83,10.00,10,0.35,0.96,0.30,27,258.42,5,10,10,11
ma_trader84,10.00,10,0.79,0.81,0.32,28,268.00,5,1,13,13
trader8,10.00,10,0.04,0.26,81.68,0,81.68,9,0,0,114
ma_trader81,10.00,10,0.69,0.73,1.85,4,40.09,4,5,6,12
ma_trader82,10.00,10,0.20,0.93,7.45,6,64.81,5,17,7,197
ma_trader80,10.00,10,0.45,0.22,0.72,23,220.60,6,0,7,13
ma_trader16,10.00,10,0.36,0.56,0.82,12,115.54,6,4,6,12
ma_trader17,10.00,10,0.88,0.04,12.32,0,12.32,4,1,2,1162
ma_trader14,10.00,10,0.14,0.42,12.92,0,12.92,5,3,4,1224
ma_trader15,10.00,10,0.89,0.88,9.74,7,76.66,6,6,4,274
ma_trader12,10.00,10,0.75,0.38,7.57,2,26.69,10,11,4,73
ma_trader13,10.00,10,0.85,0.15,17.12,0,17.12,8,12,4,2316
ma_trader10,10.00,10,0.35,0.65,6.42,1,15.98,7,1,4,77
ma_trader11,10.00,10,0.65,0.15,14.77,0,14.77,7,13,4,1748
ma_trader90,10.00,10,0.69,0.73,0.34,12,115.06,7,0,8,7
ma_trader69,10.00,10,0.07,0.05,5.35,2,24.47,5,7,5,201
ma_trader67,10.00,10,0.67,0.58,0.56,43,411.64,5,0,18,15
ma_trader68,10.00,10,0.22,0.68,0.98,12,115.70,8,0,6,9
ma_trader65,10.00,10,0.60,0.87,0.46,31,296.82,7,20,12,7
ma_trader66,10.00,10,0.76,0.37,12.52,0,12.52,4,3,3,1196
ma_trader63,10.00,10,0.09,0.93,19.73,2,38.85,8,4,3,2590
ma_trader64,10.00,10,0.15,0.17,13.56,0,13.56,3,1,1,1439
ma_trader61,10.00,10,0.42,0.75,9.43,1,18.99,7,12,5,296
ma_trader62,10.00,10,0.36,0.21,3.11,1,12.67,4,1,4,172
ma_trader60,10.00,10,0.70,0.41,13.35,0,13.35,5,0,5,1480
ma_trader78,10.00,10,0.78,0.13,0.61,45,430.81,8,1,19,9
ma_trader79,10.00,10,0.61,0.36,9.85,1,19.41,3,13,3,285
ma_trader76,10.00,10,0.46,0.96,9.35,2,28.47,5,17,3,289
ma_trader77,10.00,10,0.71,0.43,9.34,1,18.90,7,3,5,267
ma_trader74,10.00,10,0.52,0.39,0.85,32,306.77,8,1,11,12
ma_trader75,10.00,10,0.61,0.14,3.62,5,51.42,6,23,5,95
ma_trader72,10.00,10,0.23,0.86,0.41,41,392.37,5,0,15,20
ma_trader73,10.00,10,0.11,0.41,1.97,35,336.57,7,19,14,19
ma_trader70,10.00,10,0.67,0.29,13.64,0,13.64,3,6,4,1512
ma_trader71,10.00,10,0.86,0.20,0.55,12,115.27,6,3,5,9
ma_trader49,10.00,10,0.97,0.59,0.77,40,383.17,5,2,13,20
ma_trader47,10.00,10,0.05,0.05,5.89,1,15.45,7,2,4,48
ma_trader48,10.00,10,0.37,0.05,1.26,21,202.02,6,19,8,17
ma_trader45,10.00,10,0.71,0.81,14.20,0,14.20,5,2,4,1705
ma_trader46,10.00,10,0.02,0.64,15.54,24,244.98,6,1,13,1976
ma_trader43,10.00,10,0.52,0.88,0.89,39,373.73,11,15,12,12
ma_trader44,10.00,10,0.69,0.46,0.51,11,105.67,6,1,6,6
ma_trader41,10.00,10,0.20,0.82,16.75,0,16.75,7,2,2,2077
ma_trader42,10.00,10,0.83,0.88,1.70,28,269.38,6,13,12,10
ma_trader40,10.00,10,0.32,0.50,0.26,11,105.42,7,0,6,12
ma_trader5,10.00,10,0.26,0.51,8.70,35,343.30,8,16,14,123
ma_trader6,10.00,10,0.41,0.59,0.68,11,105.84,5,0,5,9
ma_trader7,10.00,10,0.99,0.41,4.33,2,23.45,3,1,5,21
ma_trader8,10.00,10,0.71,0.98,0.56,43,411.64,7,1,17,11
ma_trader1,10.00,10,0.06,0.73,0.85,11,106.01,5,1,8,11
ma_trader2,10.00,10,0.45,0.96,0.13,23,220.01,4,0,12,11
ma_trader3,10.00,10,0.30,0.34,14.51,0,14.51,5,9,5,1680
ma_trader4,10.00,10,0.62,0.69,0.40,11,105.56,6,1,6,8
ma_trader58,10.00,10,0.75,0.13,8.22,2,27.34,7,21,3,134
ma_trader59,10.00,10,0.56,0.52,9.68,1,19.24,3,3,3,301
ma_trader56,10.00,10,0.46,0.53,14.36,0,14.36,8,7,5,1690
ma_trader57,10.00,10,0.91,0.39,12.93,0,12.93,4,5,2,1160
ma_trader54,10.00,10,0.16,0.87,0.16,13,124.44,5,1,9,9
ma_trader55,10.00,10,0.62,0.97,0.91,13,125.19,4,1,10,13
ma_trader52,10.00,10,0.75,0.99,0.71,14,134.55,7,2,8,5
ma_trader53,10.00,10,0.53,0.52,11.95,3,40.63,2,8,5,892
ma_trader50,10.00,10,0.74,0.92,14.64,0,14.64,7,6,3,1722
ma_trader51,10.00,10,0.85,0.51,0.65,24,230.09,8,2,9,8
ma_trader27,10.00,10,0.58,0.03,12.54,0,12.54,5,4,4,1190
ma_trader28,10.00,10,0.80,0.81,8.11,1,17.67,5,6,4,146
ma_trader25,10.00,10,0.92,0.41,11.99,16,164.95,7,17,6,893
ma_trader26,10.00,10,0.58,0.69,3.13,14,136.97,6,18,9,23
