Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,1.02,0.19,16,51
3,1.09,0.35,13,33
4,1.16,0.58,11,23
5,1.15,0.90,20,51
6,1.10,1.35,18,39
7,1.07,1.66,27,48
8,1.08,1.94,13,35
9,1.12,2.18,18,44
10,1.15,2.55,17,51
11,1.22,2.69,13,26
12,1.24,3.16,16,55
13,1.23,3.28,12,29
14,1.29,3.54,11,41
15,1.34,3.82,18,37
16,1.30,4.11,9,23
17,1.35,4.28,9,24
18,1.40,4.45,9,17
19,1.42,4.58,7,24
20,1.49,4.72,10,21
21,1.45,4.93,14,35
22,1.47,5.35,11,33
23,1.48,5.61,13,24
24,1.56,5.75,9,16
25,1.56,5.88,12,19
26,1.65,5.99,7,16
27,1.58,6.18,9,18
28,1.56,6.34,11,23
29,1.54,6.67,10,30
30,1.46,6.82,12,15
31,1.44,7.06,13,32
32,1.35,7.44,13,33
33,1.45,7.51,6,14
34,1.40,7.72,10,26
35,1.36,7.84,8,17
36,1.42,8.25,13,34
37,1.36,8.37,7,15
38,1.26,8.48,3,11
39,1.30,8.72,10,27
40,1.23,9.22,11,45
41,1.17,9.27,7,10
42,1.08,9.43,4,12
43,1.05,9.56,9,35
44,1.04,9.81,9,34
45,1.01,10.03,9,29
46,0.95,10.29,7,25
47,0.91,10.45,15,36
48,0.90,10.78,10,48
49,0.88,10.91,13,28
50,0.85,11.02,10,34
51,0.82,11.14,12,39
52,0.80,11.18,6,10
53,0.81,11.40,15,44
54,0.77,11.52,13,40
55,0.74,11.65,3,23
56,0.74,11.77,12,26
57,0.72,11.96,11,33
58,0.68,12.14,12,44
59,0.65,12.31,7,34
60,0.67,12.45,14,38
61,0.68,12.48,5,9
62,0.64,12.60,10,37
63,0.65,12.87,9,53
64,0.70,12.99,13,40
65,0.74,13.04,10,26
66,0.72,13.12,7,23
67,0.75,13.32,10,38
68,0.74,13.62,14,59
69,0.73,13.71,8,24
70,0.77,13.81,9,20
71,0.74,13.87,8,24
72,0.73,13.99,8,28
73,0.80,14.04,5,12
74,0.78,14.14,8,22
75,0.74,14.29,8,25
76,0.76,14.32,5,19
77,0.76,14.37,7,23
78,0.77,14.41,5,8
79,0.86,14.41,2,2
80,0.96,14.50,5,13
81,1.03,14.62,8,36
82,1.10,14.79,9,22
83,1.10,14.99,8,35
84,1.18,15.06,5,7
85,1.18,15.21,11,29
86,1.15,15.41,5,21
87,1.20,15.51,6,20
88,1.24,15.65,9,25
89,1.42,15.76,6,10
90,1.50,16.00,9,25
91,1.51,16.29,12,41
92,1.56,16.46,9,17
93,1.76,16.49,4,5
94,1.87,16.64,5,12
95,1.78,17.03,11,31
96,1.79,17.20,10,16
97,1.77,17.33,12,19
98,1.71,17.55,8,27
