TraderName,InitIncome,InitShares,OpProb,SellProb,Income,Shares,Wealth,NbSellSuccess,NbSellFailures,NbBuySuccess,NbBuyFailures
trader1,10.00,10,0.78,0.06,0.86,12,10.01,269,134,376,332
trader3,10.00,10,0.10,0.59,4.72,42,36.75,255,105,268,84
trader2,10.00,10,0.83,0.74,2.28,0,2.28,640,518,517,407
trader5,10.00,10,0.83,0.60,3.02,0,3.02,625,510,550,526
trader4,10.00,10,0.21,0.68,48.63,0,48.63,430,210,372,153
trader65,10.00,10,0.05,0.31,9.73,0,9.73,80,36,98,54
trader7,10.00,10,0.14,0.72,88.00,4,91.05,392,170,298,95
trader64,10.00,10,0.84,0.66,2.49,0,2.49,619,465,536,480
trader6,10.00,10,0.32,0.01,0.38,14,11.06,27,4,32,45
trader67,10.00,10,0.82,0.22,0.43,3,2.71,692,387,853,804
trader9,10.00,10,0.31,0.96,15.38,0,15.38,153,88,105,41
trader8,10.00,10,0.44,0.55,7.00,0,7.00,630,417,573,383
trader66,10.00,10,0.43,0.35,1.08,5,4.89,410,268,453,401
trader61,10.00,10,0.29,0.32,11.35,9,18.22,464,203,518,330
trader60,10.00,10,0.87,0.13,0.77,8,6.87,467,267,667,568
trader63,10.00,10,0.70,0.56,2.43,2,3.95,635,484,564,499
trader62,10.00,10,0.93,0.53,2.53,2,4.05,1152,815,1004,800
trader69,10.00,10,0.06,0.98,28.23,0,28.23,22,14,17,4
trader68,10.00,10,0.56,0.04,0.34,16,12.54,136,53,217,152
ma_trader16,10.00,10,0.75,0.95,0.90,9,7.77,8,12,5,6
ma_trader17,10.00,10,0.93,0.36,0.54,8,6.64,8,6,7,12
ma_trader14,10.00,10,0.16,0.98,0.26,24,18.56,5,4,16,39
trader70,10.00,10,0.58,0.32,3.60,0,3.60,674,402,730,583
ma_trader15,10.00,10,0.10,0.50,0.69,15,12.13,3,2,10,8
ma_trader12,10.00,10,0.35,0.94,0.29,16,12.49,5,16,10,18
ma_trader13,10.00,10,0.19,0.89,0.37,12,9.53,5,3,8,16
ma_trader10,10.00,10,0.79,0.10,0.98,37,29.20,9,8,11,6
ma_trader11,10.00,10,0.28,0.17,0.63,18,14.36,8,9,8,15
trader43,10.00,10,0.49,0.94,14.78,0,14.78,255,166,166,77
trader42,10.00,10,0.55,0.06,2.08,6,6.65,211,80,301,344
trader45,10.00,10,0.35,0.33,0.89,20,16.14,329,236,352,299
trader44,10.00,10,0.28,0.83,32.92,8,39.02,431,202,337,123
trader41,10.00,10,0.72,0.10,2.28,10,9.91,361,140,483,503
trader40,10.00,10,0.48,0.22,0.61,9,7.48,613,263,781,550
trader47,10.00,10,0.31,0.98,20.32,1,21.08,63,48,33,22
trader46,10.00,10,0.97,0.85,10.59,0,10.59,747,507,545,347
trader49,10.00,10,0.95,0.25,0.95,4,4.00,763,477,852,803
trader48,10.00,10,0.54,0.28,0.83,2,2.36,368,254,389,420
trader54,10.00,10,0.68,0.48,1.97,1,2.73,788,566,753,632
trader53,10.00,10,0.96,0.29,1.06,4,4.11,802,534,868,847
trader56,10.00,10,0.32,0.18,1.41,5,5.23,235,117,304,243
trader55,10.00,10,0.50,0.83,6.39,0,6.39,483,280,347,215
trader50,10.00,10,0.07,0.61,15.25,4,18.30,177,99,149,60
trader52,10.00,10,0.00,0.15,4.75,13,14.67,0,0,3,2
trader51,10.00,10,0.96,0.12,1.27,6,5.84,617,277,900,798
trader58,10.00,10,0.96,0.00,0.68,18,14.40,25,6,41,53
trader57,10.00,10,0.17,0.47,15.87,6,20.45,393,173,396,201
trader59,10.00,10,0.82,0.45,1.36,0,1.36,626,447,613,616
trader21,10.00,10,0.16,0.26,0.82,10,8.44,177,82,195,159
trader20,10.00,10,0.53,0.71,3.10,2,4.62,711,437,581,351
trader23,10.00,10,0.25,0.43,12.56,26,32.39,521,204,527,317
trader22,10.00,10,0.61,0.10,0.84,7,6.18,292,127,435,359
trader29,10.00,10,0.14,0.13,0.58,24,18.88,130,43,174,146
trader28,10.00,10,0.76,0.68,3.66,3,5.95,778,606,606,477
trader25,10.00,10,0.40,0.01,0.97,17,13.94,23,5,49,64
trader24,10.00,10,0.84,0.66,4.13,0,4.13,649,498,561,511
trader27,10.00,10,0.35,0.19,4.63,0,4.63,290,151,376,320
trader26,10.00,10,0.37,0.84,8.62,4,11.67,332,193,260,134
ma_trader5,10.00,10,0.69,0.34,0.74,14,11.41,4,0,8,3
ma_trader6,10.00,10,0.80,0.21,0.21,10,7.84,8,6,8,26
ma_trader7,10.00,10,0.98,0.30,0.57,9,7.43,5,13,11,31
ma_trader8,10.00,10,0.97,0.75,0.45,15,11.89,9,3,7,14
ma_trader1,10.00,10,0.20,0.01,0.14,10,7.77,6,9,9,6
ma_trader2,10.00,10,0.43,0.44,0.19,15,11.62,2,0,12,9
ma_trader3,10.00,10,0.75,0.09,0.41,37,28.62,9,4,14,13
ma_trader4,10.00,10,0.35,0.93,0.90,23,18.44,6,2,12,6
trader32,10.00,10,0.27,0.46,6.87,5,10.68,419,232,395,261
trader31,10.00,10,0.16,0.84,10.48,0,10.48,110,77,79,53
trader34,10.00,10,0.72,0.27,5.03,1,5.80,809,456,947,795
trader33,10.00,10,0.12,0.51,10.10,6,14.68,267,127,261,142
trader30,10.00,10,0.01,0.09,0.79,15,12.23,3,3,5,5
trader39,10.00,10,0.26,0.75,7.82,0,7.82,429,264,316,162
trader36,10.00,10,0.31,0.02,0.17,18,13.90,31,15,51,75
trader35,10.00,10,0.19,0.22,0.88,12,10.03,202,95,247,176
trader38,10.00,10,0.09,0.55,5.94,20,21.19,186,103,171,91
trader37,10.00,10,0.01,0.96,30.72,0,30.72,5,3,2,0
ma_trader27,10.00,10,0.56,0.57,0.96,9,7.83,7,6,8,5
ma_trader28,10.00,10,0.82,0.76,0.63,32,25.03,8,4,13,10
ma_trader25,10.00,10,0.55,0.42,0.41,9,7.27,4,13,10,16
ma_trader26,10.00,10,0.28,0.45,0.17,25,19.23,11,7,9,32
ma_trader23,10.00,10,0.89,0.41,0.79,38,29.77,5,2,16,6
ma_trader24,10.00,10,0.65,0.24,0.97,9,7.83,4,1,10,19
ma_trader21,10.00,10,0.37,0.35,0.70,15,12.14,4,9,7,6
ma_trader22,10.00,10,0.14,0.70,0.79,16,12.99,5,1,2,3
ma_trader20,10.00,10,0.37,0.78,0.16,15,11.59,8,1,6,5
ma_trader18,10.00,10,0.58,0.10,0.62,8,6.72,6,10,10,8
ma_trader19,10.00,10,0.88,0.10,0.63,16,12.83,7,2,6,8
ma_trader9,10.00,10,0.23,0.92,0.70,13,10.61,3,2,7,12
ma_trader30,10.00,10,0.24,0.07,0.91,15,12.34,2,4,5,8
trader10,10.00,10,0.14,0.04,0.44,24,18.74,20,15,28,18
trader12,10.00,10,0.70,0.82,6.43,0,6.43,454,370,347,279
trader11,10.00,10,0.18,0.16,9.15,14,19.83,226,66,281,197
trader18,10.00,10,0.46,0.97,14.75,0,14.75,121,77,91,26
trader17,10.00,10,0.29,0.53,2.28,0,2.28,334,202,310,253
trader19,10.00,10,0.19,0.95,21.46,0,21.46,58,42,43,19
trader14,10.00,10,0.17,0.83,10.54,0,10.54,152,107,102,62
trader13,10.00,10,0.96,0.36,1.73,0,1.73,828,600,829,795
trader16,10.00,10,0.77,0.49,4.47,0,4.47,762,631,689,661
trader15,10.00,10,0.23,0.49,11.36,33,36.53,516,241,477,298
ma_trader29,10.00,10,0.29,0.38,0.58,33,25.75,4,0,11,12
